Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
P1,26/10/2020,20:15,Benfica,Belenenses,2,0,H,1,0,H,15,6,6,2,15,8,7,2,0,0,0,0,1.43,2.75
P1,28/10/2020,21:45,Sp Lisbon,Gil Vicente,3,1,H,0,0,D,13,4,6,1,15,19,9,4,5,4,0,0,1.95,1.85
P1,30/10/2020,20:30,Pacos Ferreira,Porto,3,2,H,2,1,H,16,10,7,3,22,20,5,4,1,1,0,0,1.93,1.87
P1,31/10/2020,15:30,Belenenses,Farense,1,1,D,0,0,D,7,10,3,2,15,12,8,6,3,0,0,1,2.18,1.68
P1,31/10/2020,18:00,Rio Ave,Moreirense,2,0,H,1,0,H,11,7,6,1,20,18,3,5,1,4,0,0,2.1,1.73
P1,31/10/2020,20:30,Maritimo,Nacional,0,0,D,0,0,D,15,9,4,3,20,24,3,6,1,3,0,0,2.04,1.77
P1,01/11/2020,15:00,Portimonense,Santa Clara,1,2,A,0,1,A,12,13,2,7,21,13,7,5,3,6,0,0,2.21,1.66
P1,01/11/2020,17:30,Gil Vicente,Guimaraes,1,2,A,0,1,A,21,7,4,5,14,11,8,4,1,2,0,0,2.4,1.55
P1,01/11/2020,20:00,Sp Lisbon,Tondela,4,0,H,1,0,H,26,3,15,0,14,20,8,1,3,2,0,0,1.9,1.89
P1,02/11/2020,21:00,Boavista,Benfica,3,0,H,2,0,H,14,5,7,2,31,15,4,6,3,4,0,0,1.49,2.56
P1,02/11/2020,18:45,Sp Braga,Famalicao,1,0,H,0,0,D,20,5,9,2,14,14,11,2,1,5,0,1,1.53,2.46
P1,06/11/2020,20:30,Belenenses,Rio Ave,0,0,D,0,0,D,11,6,1,2,17,17,6,2,2,2,0,0,2.37,1.57
P1,07/11/2020,18:00,Famalicao,Maritimo,2,1,H,2,1,H,18,10,8,4,18,18,4,2,3,2,0,0,2.07,1.74
P1,07/11/2020,20:30,Guimaraes,Sp Lisbon,0,4,A,0,2,A,15,16,1,6,16,18,5,2,3,1,0,0,2.24,1.63
P1,07/11/2020,15:00,Tondela,Santa Clara,2,0,H,1,0,H,11,20,5,4,19,13,3,3,2,3,0,0,2.36,1.58
P1,08/11/2020,15:00,Farense,Boavista,3,1,H,1,1,D,6,13,5,5,20,15,5,7,4,1,0,0,2.27,1.61
P1,08/11/2020,17:30,Porto,Portimonense,3,1,H,1,1,D,18,8,7,1,15,21,11,4,3,3,0,0,1.68,2.15
P1,08/11/2020,20:00,Benfica,Sp Braga,2,3,A,0,1,A,12,7,5,5,13,13,5,3,1,3,0,0,1.62,2.27
P1,08/11/2020,15:00,Nacional,Gil Vicente,2,1,H,0,1,A,13,10,6,8,17,20,8,11,1,4,0,0,2.57,1.48
P1,27/11/2020,19:00,Pacos Ferreira,Famalicao,2,0,H,1,0,H,11,9,4,1,22,17,3,3,4,4,0,0,2.18,1.68
P1,27/11/2020,21:00,Tondela,Guimaraes,0,2,A,0,0,D,13,10,4,5,14,15,5,2,1,2,1,0,2.06,1.76
P1,28/11/2020,18:00,Santa Clara,Porto,0,1,A,0,1,A,7,4,2,2,12,14,2,7,2,1,0,0,1.9,1.89
P1,28/11/2020,20:30,Sp Lisbon,Moreirense,2,1,H,1,1,D,13,2,5,0,17,13,9,0,1,2,0,0,1.62,2.27
