Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
F1,2022-02-13,14:00,Clermont,St Etienne,1,2,A,1,0,H,9,6,3,3,16,10,6,3,4,1,0,0,2.06,1.77
F1,2022-02-13,14:00,Angers,Strasbourg,0,1,A,0,1,A,9,8,2,2,20,11,5,3,3,1,0,0,2.03,1.8
F1,2022-02-13,14:00,Brest,Troyes,5,1,H,2,1,H,12,5,5,2,13,11,1,5,1,1,0,0,2.06,1.77
F1,2022-02-13,12:00,Monaco,Lorient,0,0,D,0,0,D,15,5,4,1,18,11,11,2,3,2,0,0,1.82,2.0
F1,2022-02-13,14:00,Nantes,Reims,1,0,H,1,0,H,11,7,3,4,17,8,5,5,1,0,0,1,2.44,1.56
F1,2022-02-13,16:05,Lens,Bordeaux,3,2,H,3,1,H,9,10,7,4,9,7,6,2,3,2,0,0,1.57,2.42
F1,2022-02-13,19:45,Metz,Marseille,1,2,A,0,1,A,11,13,4,5,11,6,3,8,2,2,0,0,1.87,1.94
F1,2022-02-18,20:00,Lille,Metz,0,0,D,0,0,D,13,7,1,0,10,13,11,1,4,4,1,1,1.99,1.84
F1,2022-02-19,20:00,Nantes,Paris SG,3,1,H,3,0,H,13,16,7,9,16,10,5,7,2,6,0,0,1.63,2.3
F1,2022-02-19,16:00,Lens,Lyon,1,1,D,1,1,D,12,10,6,2,8,10,4,4,0,2,0,0,1.81,2.02
F1,2022-02-20,14:00,Rennes,Troyes,4,1,H,2,1,H,17,4,8,1,11,16,6,7,1,4,0,0,1.77,2.06
F1,2022-02-20,14:00,St Etienne,Strasbourg,2,2,D,2,2,D,9,8,4,4,12,5,3,4,3,2,0,0,1.94,1.87
F1,2022-02-20,12:00,Nice,Angers,1,0,H,1,0,H,9,11,5,2,11,17,4,5,2,2,0,0,1.97,1.85
F1,2022-02-20,14:00,Reims,Brest,1,1,D,1,1,D,8,15,2,4,10,17,1,6,1,2,0,0,2.12,1.71
F1,2022-02-20,14:00,Lorient,Montpellier,0,1,A,0,0,D,16,6,3,5,15,9,8,5,2,2,0,0,2.04,1.78
F1,2022-02-20,19:45,Marseille,Clermont,0,2,A,0,1,A,18,4,4,3,11,9,8,3,2,2,0,0,1.78,2.05
F1,2022-02-20,16:05,Bordeaux,Monaco,1,1,D,1,0,H,11,13,3,4,13,13,2,7,3,4,0,1,1.61,2.34
F1,2022-02-25,20:00,Montpellier,Rennes,2,4,A,2,2,D,12,11,5,9,11,11,7,1,3,2,0,0,1.88,1.94
F1,2022-02-26,20:00,Paris SG,St Etienne,3,1,H,1,1,D,21,13,8,6,9,13,8,3,2,1,0,0,1.34,3.23
F1,2022-02-26,16:00,Strasbourg,Nice,0,0,D,0,0,D,17,3,6,0,9,12,8,2,1,2,0,1,2.01,1.82
F1,2022-02-27,14:00,Metz,Nantes,0,0,D,0,0,D,8,12,0,3,14,15,3,4,1,2,1,0,2.31,1.62
F1,2022-02-27,14:00,Clermont,Bordeaux,1,1,D,1,1,D,9,10,3,3,5,13,6,6,1,2,0,0,1.85,1.97
F1,2022-02-27,19:45,Lyon,Lille,0,1,A,0,1,A,20,6,8,2,13,15,7,3,3,2,0,0,1.8,2.02
F1,2022-02-27,16:05,Troyes,Marseille,1,1,D,0,1,A,9,8,3,3,15,8,4,8,5,3,0,0,1.89,1.93
F1,2022-02-27,14:00,Brest,Lorient,0,1,A,0,0,D,4,17,0,8,12,15,4,6,2,4,1,0,2.04,1.79
F1,2022-02-27,14:00,Angers,Lens,1,2,A,0,0,D,13,8,4,2,13,16,7,3,4,3,1,0,2.1,1.74
F1,2022-02-27,12:00,Monaco,Reims,1,2,A,0,0,D,18,12,5,7,15,12,10,3,3,2,1,0,1.96,1.86
F1,2022-03-04,20:00,Lorient,Lyon,1,4,A,0,2,A,15,15,6,7,9,14,8,3,1,0,0,0,1.9,1.92
F1,2022-03-05,16:00,Lens,Brest,0,1,A,0,0,D,20,5,6,3,14,11,4,0,1,1,0,0,1.78,2.05
