Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-09-25,Borussia Monchengladbach,Borussia Dortmund,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Eintracht Frankfurt,1.FC Köln,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,Vfl Bochum,VfB Stuttgart,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,SC Freiburg,FC Augsburg,3,0,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,1.FC Köln,SpVgg Greuther Furth,3,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,VfB Stuttgart,1899 Hoffenheim,3,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,RB Leipzig,Vfl Bochum,3,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Borussia Dortmund,FC Augsburg,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Hertha Berlin,SC Freiburg,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,VfL Wolfsburg,Borussia Monchengladbach,1,3,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,FSV Mainz 05,Union Berlin,1,2,A,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,Bayern Munich,Eintracht Frankfurt,1,2,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,Arminia Bielefeld,Bayer Leverkusen,0,4,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-15,1899 Hoffenheim,1.FC Köln,5,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Borussia Monchengladbach,VfB Stuttgart,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Union Berlin,VfL Wolfsburg,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,SpVgg Greuther Furth,Vfl Bochum,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Eintracht Frankfurt,Hertha Berlin,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,SC Freiburg,RB Leipzig,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Borussia Dortmund,FSV Mainz 05,3,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-17,Bayer Leverkusen,Bayern Munich,1,5,A,0,5,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-17,FC Augsburg,Arminia Bielefeld,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-22,FSV Mainz 05,FC Augsburg,4,1,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,Hertha Berlin,Borussia Monchengladbach,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,RB Leipzig,SpVgg Greuther Furth,4,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,Arminia Bielefeld,Borussia Dortmund,1,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,VfL Wolfsburg,SC Freiburg,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,Bayern Munich,1899 Hoffenheim,4,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,1.FC Köln,Bayer Leverkusen,2,2,D,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,VfB Stuttgart,Union Berlin,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,Vfl Bochum,Eintracht Frankfurt,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-29,1899 Hoffenheim,Hertha Berlin,2,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,Eintracht Frankfurt,RB Leipzig,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,Arminia Bielefeld,FSV Mainz 05,1,2,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,Union Berlin,Bayern Munich,2,5,A,1,3,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,Bayer Leverkusen,VfL Wolfsburg,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,Borussia Dortmund,1.FC Köln,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,SC Freiburg,SpVgg Greuther Furth,3,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,FC Augsburg,VfB Stuttgart,4,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,Borussia Monchengladbach,Vfl Bochum,2,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,FSV Mainz 05,Borussia Monchengladbach,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,RB Leipzig,Borussia Dortmund,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Vfl Bochum,1899 Hoffenheim,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,VfB Stuttgart,Arminia Bielefeld,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,VfL Wolfsburg,FC Augsburg,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Bayern Munich,SC Freiburg,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,Hertha Berlin,Bayer Leverkusen,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,1.FC Köln,Union Berlin,2,2,D,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,SpVgg Greuther Furth,Eintracht Frankfurt,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-19,FC Augsburg,Bayern Munich,2,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,Borussia Monchengladbach,SpVgg Greuther Furth,4,0,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,Borussia Dortmund,VfB Stuttgart,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,1899 Hoffenheim,RB Leipzig,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,Bayer Leverkusen,Vfl Bochum,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,Arminia Bielefeld,VfL Wolfsburg,2,2,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,Union Berlin,Hertha Berlin,2,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-21,SC Freiburg,Eintracht Frankfurt,0,2,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-21,FSV Mainz 05,1.FC Köln,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-26,VfB Stuttgart,FSV Mainz 05,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,Bayern Munich,Arminia Bielefeld,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,SpVgg Greuther Furth,1899 Hoffenheim,3,6,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,1.FC Köln,Borussia Monchengladbach,4,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,VfL Wolfsburg,Borussia Dortmund,1,3,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,Hertha Berlin,FC Augsburg,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,Vfl Bochum,SC Freiburg,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,Eintracht Frankfurt,Union Berlin,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,RB Leipzig,Bayer Leverkusen,1,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-03,Union Berlin,RB Leipzig,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,Borussia Dortmund,Bayern Munich,2,3,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,Arminia Bielefeld,1.FC Köln,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,FC Augsburg,Vfl Bochum,2,3,A,0,3,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,Bayer Leverkusen,SpVgg Greuther Furth,7,1,H,3,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,FSV Mainz 05,VfL Wolfsburg,3,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,1899 Hoffenheim,Eintracht Frankfurt,3,2,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,VfB Stuttgart,Hertha Berlin,2,2,D,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,Borussia Monchengladbach,SC Freiburg,0,6,A,0,6,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-10,1.FC Köln,FC Augsburg,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,VfL Wolfsburg,VfB Stuttgart,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,RB Leipzig,Borussia Monchengladbach,4,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,Vfl Bochum,Borussia Dortmund,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,Hertha Berlin,Arminia Bielefeld,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,Bayern Munich,FSV Mainz 05,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,SC Freiburg,1899 Hoffenheim,1,2,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,SpVgg Greuther Furth,Union Berlin,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,Eintracht Frankfurt,Bayer Leverkusen,5,2,H,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,VfB Stuttgart,Bayern Munich,0,5,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,VfL Wolfsburg,1.FC Köln,2,3,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,FSV Mainz 05,Hertha Berlin,4,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,Arminia Bielefeld,Vfl Bochum,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,Union Berlin,SC Freiburg,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,FC Augsburg,RB Leipzig,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,Borussia Dortmund,SpVgg Greuther Furth,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,Borussia Monchengladbach,Eintracht Frankfurt,2,3,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,Bayer Leverkusen,1899 Hoffenheim,2,2,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,Bayern Munich,VfL Wolfsburg,4,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,SpVgg Greuther Furth,FC Augsburg,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,1899 Hoffenheim,Borussia Monchengladbach,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,Eintracht Frankfurt,FSV Mainz 05,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,RB Leipzig,Arminia Bielefeld,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,Vfl Bochum,Union Berlin,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,Hertha Berlin,Borussia Dortmund,3,2,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-19,SC Freiburg,Bayer Leverkusen,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
