Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,2023-09-24,15:15,Vallecano,Villarreal,1,1,D,1,1,D,11,13,6,6,20,18,2,8,2,3,0,1
SP1,2023-09-24,17:30,Betis,Cadiz,1,1,D,0,1,A,21,5,7,1,10,14,11,8,2,3,0,0
SP1,2023-09-24,17:30,Las Palmas,Granada,1,0,H,0,0,D,10,2,3,1,13,19,6,7,6,4,1,0
SP1,2023-09-24,20:00,Ath Madrid,Real Madrid,3,1,H,2,1,H,10,20,4,5,13,10,6,11,1,3,0,0
SP1,2023-09-26,20:30,Mallorca,Barcelona,2,2,D,2,1,H,10,10,5,4,19,7,7,2,4,1,1,0
SP1,2023-09-26,18:00,Sevilla,Almeria,5,1,H,3,0,H,18,10,9,1,15,16,9,4,3,2,0,0
SP1,2023-09-27,18:00,Real Madrid,Las Palmas,2,0,H,1,0,H,21,16,9,2,7,9,7,2,0,1,0,0
SP1,2023-09-27,18:00,Villarreal,Girona,1,2,A,0,0,D,14,17,3,5,9,11,5,6,3,2,0,0
SP1,2023-09-27,20:30,Cadiz,Vallecano,0,0,D,0,0,D,9,9,2,4,16,13,1,2,5,6,0,1
SP1,2023-09-27,20:30,Valencia,Sociedad,0,1,A,0,1,A,9,2,2,1,14,17,0,2,4,7,1,0
SP1,2023-09-27,18:00,Ath Bilbao,Getafe,2,2,D,1,0,H,9,13,4,5,9,19,5,4,5,6,1,0
SP1,2023-09-28,18:00,Celta,Alaves,1,1,D,1,0,H,8,21,0,11,9,11,2,8,5,3,1,0
SP1,2023-09-28,18:00,Granada,Betis,1,1,D,0,0,D,19,13,7,3,14,10,5,7,2,1,0,0
SP1,2023-09-28,20:30,Osasuna,Ath Madrid,0,2,A,0,1,A,13,4,2,3,14,4,7,2,3,3,1,1
SP1,2023-09-29,20:00,Barcelona,Sevilla,1,0,H,0,0,D,18,12,5,3,11,15,13,3,2,3,0,0
SP1,2023-09-30,13:00,Getafe,Villarreal,0,0,D,0,0,D,22,3,9,0,19,11,6,4,2,4,0,1
SP1,2023-09-30,15:15,Vallecano,Mallorca,2,2,D,1,1,D,19,9,5,4,12,20,5,0,2,5,0,0
SP1,2023-09-30,17:30,Girona,Real Madrid,0,3,A,0,2,A,13,14,3,7,13,14,1,4,2,2,0,1
SP1,2023-09-30,20:00,Sociedad,Ath Bilbao,3,0,H,1,0,H,8,18,5,3,20,9,5,7,2,2,0,0
SP1,2023-10-01,20:00,Betis,Valencia,3,0,H,1,0,H,15,9,7,2,11,10,5,3,2,2,0,0
SP1,2023-10-01,13:00,Almeria,Granada,3,3,D,3,0,H,17,19,5,4,18,14,1,5,2,1,0,0
SP1,2023-10-01,15:15,Alaves,Osasuna,0,2,A,0,1,A,17,10,3,3,13,13,4,2,2,3,1,0
SP1,2023-10-01,20:00,Ath Madrid,Cadiz,3,2,H,1,2,A,18,8,9,4,5,10,5,3,1,3,0,0
SP1,2023-10-02,20:00,Las Palmas,Celta,2,1,H,0,0,D,16,11,5,3,13,14,4,5,2,1,0,0
SP1,2023-10-06,20:00,Ath Bilbao,Almeria,3,0,H,1,0,H,23,4,9,1,11,7,6,2,2,0,0,0
SP1,2023-10-07,13:00,Cadiz,Girona,0,1,A,0,0,D,8,20,2,5,12,13,5,5,1,3,1,0
SP1,2023-10-07,15:15,Real Madrid,Osasuna,4,0,H,1,0,H,19,7,9,1,9,6,5,4,2,2,0,0
SP1,2023-10-07,17:30,Mallorca,Valencia,1,1,D,1,1,D,9,11,5,3,17,11,3,6,2,1,0,0
SP1,2023-10-07,20:00,Sevilla,Vallecano,2,2,D,0,2,A,22,7,6,4,16,19,12,2,5,2,0,0
SP1,2023-10-08,20:00,Granada,Barcelona,2,2,D,2,1,H,7,22,2,10,12,7,1,11,4,1,0,0
SP1,2023-10-08,15:15,Ath Madrid,Sociedad,2,1,H,1,0,H,14,13,5,4,9,12,1,4,3,3,0,0
SP1,2023-10-08,17:30,Alaves,Betis,1,1,D,1,1,D,15,6,5,2,13,9,5,3,3,3,0,1
SP1,2023-10-08,13:00,Villarreal,Las Palmas,1,2,A,0,1,A,9,8,4,5,17,7,7,2,4,4,0,0
SP1,2023-10-08,17:30,Celta,Getafe,2,2,D,2,2,D,26,3,11,2,14,20,13,1,1,8,0,1
SP1,2023-10-20,20:00,Osasuna,Granada,2,0,H,1,0,H,12,13,6,3,19,13,1,7,3,4,0,1
SP1,2023-10-21,13:00,Sociedad,Mallorca,1,0,H,0,0,D,14,18,6,7,14,16,2,5,3,3,0,0
SP1,2023-10-21,15:15,Getafe,Betis,1,1,D,1,1,D,14,13,4,3,17,11,4,8,5,2,0,0
SP1,2023-10-21,17:30,Sevilla,Real Madrid,1,1,D,0,0,D,17,14,7,5,13,6,4,6,5,2,0,0
SP1,2023-10-21,20:00,Celta,Ath Madrid,0,3,A,0,1,A,16,12,3,7,10,10,7,5,3,2,1,0
SP1,2023-10-22,13:00,Las Palmas,Vallecano,0,1,A,0,0,D,12,12,6,4,13,11,10,5,4,3,0,1
SP1,2023-10-22,15:15,Girona,Almeria,5,2,H,3,2,H,19,9,8,5,11,14,9,6,1,2,0,0
SP1,2023-10-22,17:30,Villarreal,Alaves,1,1,D,0,0,D,12,16,3,7,15,10,9,3,4,3,0,0
SP1,2023-10-22,20:00,Barcelona,Ath Bilbao,1,0,H,0,0,D,12,10,7,3,11,18,4,7,3,3,0,0
SP1,2023-10-23,20:00,Valencia,Cadiz,2,0,H,2,0,H,12,5,4,4,16,16,4,6,0,3,0,1
SP1,2023-10-27,20:00,Girona,Celta,1,0,H,0,0,D,12,4,2,2,15,12,10,1,3,2,0,0
SP1,2023-10-28,20:00,Cadiz,Sevilla,2,2,D,2,1,H,10,20,5,10,17,12,2,4,6,4,0,0
SP1,2023-10-28,15:15,Barcelona,Real Madrid,1,2,A,1,0,H,15,13,3,4,15,15,6,3,2,1,0,0
SP1,2023-10-28,17:30,Mallorca,Getafe,0,0,D,0,0,D,15,8,4,0,10,25,8,3,0,1,0,0
SP1,2023-10-28,13:00,Almeria,Las Palmas,1,2,A,0,1,A,10,10,4,3,13,19,3,2,3,1,0,0
SP1,2023-10-29,20:00,Ath Madrid,Alaves,2,1,H,2,0,H,11,8,7,1,10,11,4,4,3,2,0,0
SP1,2023-10-29,13:00,Betis,Osasuna,2,1,H,1,0,H,9,7,2,1,10,25,6,3,3,4,0,0
SP1,2023-10-29,17:30,Ath Bilbao,Valencia,2,2,D,1,0,H,12,11,7,5,11,10,10,4,3,1,0,0
SP1,2023-10-29,15:15,Vallecano,Sociedad,2,2,D,1,1,D,16,15,7,3,17,16,4,5,3,2,0,0
SP1,2023-10-30,20:00,Granada,Villarreal,2,3,A,2,3,A,18,6,8,5,14,15,4,1,0,4,0,0
SP1,2023-11-03,20:00,Las Palmas,Ath Madrid,2,1,H,0,0,D,9,13,3,5,12,9,3,4,0,3,0,0
SP1,2023-11-04,13:00,Osasuna,Girona,2,4,A,1,1,D,15,11,3,4,14,10,2,7,5,3,0,0
SP1,2023-11-04,15:15,Betis,Mallorca,2,0,H,1,0,H,22,8,3,1,13,16,6,1,1,4,0,1
SP1,2023-11-04,17:30,Celta,Sevilla,1,1,D,1,0,H,15,13,3,5,14,10,4,6,2,5,1,0
SP1,2023-11-04,20:00,Sociedad,Barcelona,0,1,A,0,0,D,13,12,6,4,16,8,8,3,3,3,0,0
SP1,2023-11-05,20:00,Real Madrid,Vallecano,0,0,D,0,0,D,22,4,5,0,12,15,11,1,3,5,0,0
SP1,2023-11-05,17:30,Villarreal,Ath Bilbao,2,3,A,0,3,A,17,17,6,7,11,18,9,3,4,4,0,0
SP1,2023-11-05,13:00,Alaves,Almeria,1,0,H,0,0,D,23,9,3,3,13,14,12,6,2,3,0,0
SP1,2023-11-05,15:15,Valencia,Granada,1,0,H,1,0,H,11,6,2,1,20,15,0,4,3,5,0,0
SP1,2023-11-06,20:00,Getafe,Cadiz,1,0,H,0,0,D,13,6,3,2,18,12,6,3,7,1,1,0
SP1,2023-11-10,20:00,Ath Bilbao,Celta,4,3,H,2,2,D,21,13,12,5,15,13,7,2,2,2,0,0
SP1,2023-11-11,13:00,Vallecano,Girona,1,2,A,1,1,D,22,19,9,7,15,13,8,3,1,2,0,0
SP1,2023-11-11,15:15,Almeria,Sociedad,1,3,A,0,0,D,7,18,2,6,18,19,5,5,2,2,0,0
SP1,2023-11-11,17:30,Granada,Getafe,1,1,D,1,1,D,12,10,6,6,14,9,3,5,4,2,0,0
SP1,2023-11-11,17:30,Osasuna,Las Palmas,1,1,D,0,0,D,11,6,3,1,25,10,8,3,1,1,0,0
SP1,2023-11-11,20:00,Real Madrid,Valencia,5,1,H,2,0,H,16,10,7,4,7,26,4,4,1,3,0,0
SP1,2023-11-12,15:15,Barcelona,Alaves,2,1,H,0,1,A,11,8,6,1,11,10,2,1,2,1,0,0
SP1,2023-11-12,17:30,Sevilla,Betis,1,1,D,0,0,D,13,14,4,6,18,14,9,5,1,1,0,0
SP1,2023-11-12,20:00,Ath Madrid,Villarreal,3,1,H,1,1,D,25,11,10,7,8,8,6,3,0,2,0,0
SP1,2023-11-24,20:00,Alaves,Granada,3,1,H,2,0,H,8,11,5,4,10,13,6,2,1,3,0,0
SP1,2023-11-25,17:30,Getafe,Almeria,2,1,H,2,1,H,18,13,5,4,12,8,3,6,2,4,0,0
SP1,2023-11-25,20:00,Ath Madrid,Mallorca,1,0,H,0,0,D,20,8,3,1,8,19,7,3,0,0,0,0
SP1,2023-11-25,15:15,Valencia,Celta,0,0,D,0,0,D,8,13,0,1,13,7,5,7,3,2,0,0
SP1,2023-11-25,13:00,Vallecano,Barcelona,1,1,D,1,0,H,10,15,4,4,23,13,1,4,3,4,0,0
SP1,2023-11-26,20:00,Betis,Las Palmas,1,0,H,1,0,H,12,15,6,4,7,12,7,6,1,2,0,0
SP1,2023-11-26,15:15,Sociedad,Sevilla,2,1,H,2,0,H,11,8,8,2,22,8,4,4,2,1,0,2
SP1,2023-11-26,13:00,Villarreal,Osasuna,3,1,H,0,0,D,10,15,3,7,9,14,2,4,0,0,0,0
SP1,2023-11-26,17:30,Cadiz,Real Madrid,0,3,A,0,1,A,13,14,4,5,16,16,4,4,3,3,0,0
SP1,2023-11-27,20:00,Girona,Ath Bilbao,1,1,D,0,0,D,12,13,2,6,8,16,2,6,1,1,0,0
SP1,2023-11-29,20:00,Mallorca,Cadiz,1,1,D,1,1,D,16,6,3,3,14,18,7,0,2,3,0,0
SP1,2023-12-01,20:00,Las Palmas,Getafe,2,0,H,1,0,H,11,12,6,4,11,9,4,4,0,5,0,1
SP1,2023-12-02,13:00,Girona,Valencia,2,1,H,0,0,D,9,9,5,3,6,7,3,2,2,3,0,0
SP1,2023-12-02,15:15,Ath Bilbao,Vallecano,4,0,H,1,0,H,9,11,4,3,15,11,7,2,1,2,0,0
SP1,2023-12-02,17:30,Real Madrid,Granada,2,0,H,1,0,H,11,1,4,0,10,12,6,0,2,1,0,0
SP1,2023-12-02,20:00,Osasuna,Sociedad,1,1,D,1,1,D,9,17,3,5,12,10,1,8,3,3,0,0
SP1,2023-12-03,13:00,Mallorca,Alaves,0,0,D,0,0,D,7,7,3,4,16,15,5,4,4,2,0,0
SP1,2023-12-03,15:15,Almeria,Betis,0,0,D,0,0,D,20,6,8,2,12,8,4,6,0,3,0,1
SP1,2023-12-03,17:30,Sevilla,Villarreal,1,1,D,0,0,D,18,5,4,4,6,16,8,4,3,2,0,0
SP1,2023-12-03,20:00,Barcelona,Ath Madrid,1,0,H,1,0,H,13,9,2,4,17,12,7,2,5,4,0,0
SP1,2023-12-04,20:00,Celta,Cadiz,1,1,D,0,1,A,26,2,7,1,14,18,12,1,1,6,0,1
SP1,2023-12-08,20:00,Getafe,Valencia,1,0,H,0,0,D,8,3,6,0,15,14,7,0,2,4,1,2
SP1,2023-12-09,13:00,Alaves,Las Palmas,0,1,A,0,1,A,19,9,5,2,13,13,12,3,3,4,0,0
SP1,2023-12-09,15:15,Betis,Real Madrid,1,1,D,0,0,D,14,12,6,2,14,7,8,6,2,1,0,0
SP1,2023-12-09,17:30,Villarreal,Sociedad,0,3,A,0,3,A,20,16,4,5,10,22,5,3,2,1,0,0
SP1,2023-12-09,20:00,Mallorca,Sevilla,1,0,H,1,0,H,6,19,3,5,15,6,4,12,2,2,0,0
