Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,2023-09-16,14:30,RB Leipzig,Augsburg,3,0,H,3.0,0.0,H,9.0,16.0,6.0,4.0,16.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0
D1,2023-09-17,14:30,Heidenheim,Werder Bremen,4,2,H,2.0,0.0,H,19.0,11.0,4.0,4.0,21.0,9.0,10.0,1.0,1.0,1.0,0.0,0.0
D1,2023-09-17,16:30,Darmstadt,M'gladbach,3,3,D,3.0,0.0,H,15.0,21.0,8.0,10.0,12.0,8.0,6.0,6.0,1.0,1.0,1.0,0.0
D1,2023-09-22,19:30,Stuttgart,Darmstadt,3,1,H,2.0,1.0,H,18.0,3.0,11.0,0.0,7.0,12.0,5.0,4.0,1.0,6.0,0.0,0.0
D1,2023-09-23,14:30,Union Berlin,Hoffenheim,0,2,A,0.0,2.0,A,22.0,11.0,6.0,4.0,11.0,13.0,11.0,6.0,1.0,3.0,0.0,0.0
D1,2023-09-23,17:30,Werder Bremen,FC Koln,2,1,H,1.0,1.0,D,17.0,13.0,6.0,5.0,18.0,16.0,9.0,8.0,2.0,1.0,0.0,0.0
D1,2023-09-23,14:30,Dortmund,Wolfsburg,1,0,H,0.0,0.0,D,18.0,8.0,4.0,2.0,9.0,14.0,5.0,3.0,0.0,1.0,0.0,0.0
D1,2023-09-23,14:30,Bayern Munich,Bochum,7,0,H,4.0,0.0,H,26.0,4.0,16.0,1.0,8.0,10.0,8.0,1.0,0.0,1.0,0.0,0.0
D1,2023-09-23,14:30,Augsburg,Mainz,2,1,H,2.0,1.0,H,6.0,13.0,3.0,3.0,16.0,14.0,3.0,4.0,2.0,3.0,1.0,0.0
D1,2023-09-23,14:30,M'gladbach,RB Leipzig,0,1,A,0.0,0.0,D,13.0,8.0,1.0,4.0,14.0,7.0,11.0,6.0,1.0,1.0,0.0,0.0
D1,2023-09-24,14:30,Leverkusen,Heidenheim,4,1,H,1.0,0.0,H,20.0,1.0,10.0,1.0,9.0,10.0,7.0,2.0,1.0,1.0,0.0,0.0
D1,2023-09-24,16:30,Ein Frankfurt,Freiburg,0,0,D,0.0,0.0,D,13.0,9.0,5.0,2.0,12.0,5.0,7.0,3.0,4.0,2.0,0.0,0.0
D1,2023-09-29,19:30,Hoffenheim,Dortmund,1,3,A,1.0,2.0,A,15.0,6.0,5.0,5.0,14.0,16.0,4.0,3.0,3.0,4.0,0.0,1.0
D1,2023-09-30,14:30,Bochum,M'gladbach,1,3,A,0.0,3.0,A,23.0,25.0,5.0,9.0,12.0,12.0,5.0,10.0,2.0,3.0,0.0,0.0
D1,2023-09-30,14:30,FC Koln,Stuttgart,0,2,A,0.0,0.0,D,14.0,18.0,5.0,4.0,16.0,8.0,8.0,4.0,2.0,1.0,0.0,0.0
D1,2023-09-30,14:30,Heidenheim,Union Berlin,1,0,H,0.0,0.0,D,9.0,19.0,4.0,8.0,11.0,14.0,5.0,7.0,1.0,2.0,0.0,0.0
