Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D2,2023-07-28,19:30,Hamburg,Schalke 04,5,3,H,1,2,A,31,11,14,6,10,13,9,3,3,3,0,1
D2,2023-07-29,12:00,Hannover,Elversberg,2,2,D,1,2,A,10,23,4,9,5,18,3,6,3,4,0,0
D2,2023-07-29,19:30,Fortuna Dusseldorf,Hertha,1,0,H,0,0,D,9,12,2,4,13,11,7,8,3,2,0,0
D2,2023-07-29,12:00,Wehen,Magdeburg,1,1,D,0,1,A,9,11,1,3,10,18,3,2,2,3,1,0
D2,2023-07-29,12:00,Osnabruck,Karlsruhe,2,3,A,1,2,A,18,14,7,8,11,9,4,9,3,2,1,0
D2,2023-07-29,12:00,Kaiserslautern,St Pauli,1,2,A,0,0,D,10,14,3,5,11,10,3,5,2,1,0,0
D2,2023-07-30,12:30,Greuther Furth,Paderborn,5,0,H,3,0,H,24,7,11,0,9,5,5,2,1,1,0,1
D2,2023-07-30,12:30,Braunschweig,Holstein Kiel,0,1,A,0,0,D,9,15,2,4,10,13,4,10,3,1,1,0
D2,2023-07-30,12:30,Hansa Rostock,Nurnberg,2,0,H,1,0,H,14,18,4,7,15,13,6,6,3,4,0,0
D2,2023-08-04,17:30,Hertha,Wehen,0,1,A,0,0,D,21,12,8,5,9,9,6,4,2,3,0,0
D2,2023-08-04,17:30,Paderborn,Osnabruck,1,1,D,0,0,D,15,15,5,5,11,12,7,7,1,0,0,0
D2,2023-08-05,12:00,Elversberg,Hansa Rostock,1,2,A,0,0,D,13,17,4,5,12,15,7,2,3,4,0,0
D2,2023-08-05,12:00,St Pauli,Fortuna Dusseldorf,0,0,D,0,0,D,13,10,5,3,11,8,4,8,2,1,1,0
D2,2023-08-05,19:30,Schalke 04,Kaiserslautern,3,0,H,1,0,H,16,10,8,4,14,12,8,7,1,3,0,2
D2,2023-08-05,12:00,Holstein Kiel,Greuther Furth,2,1,H,0,0,D,9,15,4,2,14,16,8,5,2,2,0,0
D2,2023-08-06,12:30,Karlsruhe,Hamburg,2,2,D,1,0,H,17,13,4,7,6,14,7,3,3,2,0,0
D2,2023-08-06,12:30,Magdeburg,Braunschweig,2,1,H,2,0,H,14,9,5,4,7,20,1,5,1,3,0,0
D2,2023-08-06,12:30,Nurnberg,Hannover,2,2,D,0,2,A,8,19,3,6,20,14,5,7,6,2,0,0
D2,2023-08-18,17:30,Kaiserslautern,Elversberg,3,2,H,1,0,H,20,21,8,9,11,12,4,6,3,1,0,0
D2,2023-08-18,17:30,Wehen,Karlsruhe,1,0,H,1,0,H,11,15,4,7,14,2,2,7,3,1,0,0
D2,2023-08-19,12:00,Greuther Furth,St Pauli,0,0,D,0,0,D,16,6,2,1,11,17,2,1,1,5,0,0
D2,2023-08-19,12:00,Fortuna Dusseldorf,Paderborn,1,2,A,0,1,A,26,10,6,6,6,20,12,1,0,3,0,0
D2,2023-08-19,12:00,Hansa Rostock,Hannover,1,2,A,0,1,A,10,8,2,2,13,11,4,5,3,1,0,0
D2,2023-08-19,19:30,Hamburg,Hertha,3,0,H,2,0,H,27,11,7,2,10,7,4,2,2,2,0,0
D2,2023-08-20,12:30,Osnabruck,Nurnberg,2,3,A,0,1,A,15,20,3,7,13,8,3,12,2,2,0,0
D2,2023-08-20,12:30,Holstein Kiel,Magdeburg,2,4,A,1,2,A,17,18,8,10,23,12,6,3,1,2,0,0
D2,2023-08-20,12:30,Braunschweig,Schalke 04,1,0,H,1,0,H,17,11,6,3,15,12,6,4,3,0,1,0
D2,2023-08-25,17:30,Schalke 04,Holstein Kiel,0,2,A,0,1,A,13,14,4,5,11,13,3,7,1,1,1,0
D2,2023-08-25,17:30,Paderborn,Kaiserslautern,1,2,A,0,0,D,15,12,5,3,17,12,1,2,2,5,0,0
D2,2023-08-26,12:00,Hansa Rostock,Osnabruck,2,1,H,1,1,D,12,13,5,3,17,10,4,5,3,0,0,0
D2,2023-08-26,12:00,Elversberg,Fortuna Dusseldorf,0,5,A,0,3,A,13,15,4,8,6,9,8,6,1,3,0,0
D2,2023-08-26,19:30,Hannover,Hamburg,0,1,A,0,0,D,19,11,5,4,13,13,3,3,1,4,0,1
D2,2023-08-26,12:00,Hertha,Greuther Furth,5,0,H,2,0,H,14,17,7,6,18,9,5,8,1,1,0,0
D2,2023-08-27,12:30,Karlsruhe,Braunschweig,2,0,H,1,0,H,22,9,9,0,11,4,6,4,1,1,0,1
D2,2023-08-27,12:30,Nurnberg,Wehen,2,1,H,0,0,D,13,15,4,2,12,17,10,6,2,6,1,2
D2,2023-08-27,12:30,St Pauli,Magdeburg,0,0,D,0,0,D,26,5,12,2,9,9,11,3,2,3,0,0
D2,2023-09-01,17:30,Fortuna Dusseldorf,Karlsruhe,3,1,H,1,1,D,19,10,5,8,8,10,7,7,1,3,0,0
D2,2023-09-01,17:30,Braunschweig,St Pauli,1,1,D,0,0,D,9,19,1,5,11,11,3,5,2,3,0,0
D2,2023-09-02,12:00,Magdeburg,Hertha,6,4,H,2,3,A,23,12,12,7,6,9,4,3,2,3,0,0
D2,2023-09-02,12:00,Holstein Kiel,Paderborn,2,1,H,1,1,D,19,13,6,2,9,9,6,8,3,3,0,0
D2,2023-09-02,19:30,Kaiserslautern,Nurnberg,3,1,H,3,1,H,12,18,4,4,12,14,4,7,1,2,0,1
D2,2023-09-02,12:00,Wehen,Schalke 04,1,1,D,0,0,D,14,15,3,5,17,10,3,7,4,2,0,0
D2,2023-09-03,12:30,Greuther Furth,Hannover,1,3,A,0,2,A,19,6,5,5,11,11,9,2,1,2,0,0
D2,2023-09-03,12:30,Hamburg,Hansa Rostock,2,0,H,1,0,H,17,7,11,3,14,15,3,5,2,5,0,0
D2,2023-09-03,12:30,Osnabruck,Elversberg,0,1,A,0,0,D,9,10,4,2,16,13,6,2,1,2,0,0
D2,2023-09-15,17:30,Nurnberg,Greuther Furth,1,1,D,1,1,D,18,9,4,2,14,17,6,5,2,3,0,0
D2,2023-09-15,17:30,Paderborn,Wehen,2,1,H,0,1,A,17,12,7,5,14,12,5,1,3,2,0,0
